1; ; ; ; ; ; ; ; ;;;
81;750;750;-242;-242;-242;-242;-242;;;;
83;0;0;0;0;0;0;0;;;;
100;500;500;500;500;500;500;500;;;;
316;4756;4756;2644;2644;2644;2644;2644;;;;
612;4800;4800;4800;4800;4800;4800;4800;;;;
618;4083;4083;1379;1379;1379;1379;1379;;;;
624;3642;3642;3642;3642;3642;3642;3642;;;;
3416;0;0;0;0;0;0;0;;;;
6412;0;0;0;0;0;0;0;;;;
6418;0;0;0;0;0;0;0;;;;
6424;0;0;0;0;0;0;0;;;;
 ;;;;;;;;;;;
