1;;;;;;;;
21;0;0;0;0;0;0;0;
41;1328;1328;1328;1328;1328;1328;1328;
43;0;0;0;0;0;0;0;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;880;880;880;880;880;880;880;
83;0;0;0;0;0;0;0;
100;560;560;560;560;560;560;560;
316;5020;5020;5020;5020;5020;5020;5020;
612;3000;3000;3000;3000;3000;3000;3000;
618;2288;2288;2288;2288;2288;2288;2288;
624;1146;1146;1146;1146;1146;1146;1146;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;0;0;0;0;0;0;0;
6424;0;0;0;0;0;0;0;

1;;;;;;;;
;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;
21;357;357;357;357;357;357;357;
41;4832;10622;14482;18342;22202;26062;31062;
43;1514;1524;1534;1634;1734;1834;1934;
77;4;4;4;4;4;4;4;
80;0;0;0;0;0;0;0;
81;8095;14162;17925;21688;25451;28607;33763;
83;2230;2240;2250;2510;2770;3030;3130;
100;5132;5552;5972;6392;6812;7092;7372;
316;73328;89728;106128;122528;138928;155328;171728;
612;112476;144142;175808;207474;239140;270806;302472;
618;62800;106200;149600;193000;236400;279800;323200;
624;34392;44814;55236;65658;76080;86502;96924;
3416;190;190;190;190;190;190;190;
6412;673;673;673;673;673;673;673;
6418;729;729;729;729;729;729;729;
6424;3040;3040;3040;3040;3040;3040;3040;

2;;;;;;;;
;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;
21;0;0;0;0;0;0;0;
41;8335;12835;17335;21835;26335;30835;32635;
43;868;1168;1468;1768;1968;2096;2296;
77;269;269;269;269;269;269;269;
80;0;0;0;0;0;0;0;
81;3475;8279;13491;18295;23507;27991;29779;
83;391;403;415;427;439;331;343;
100;3630;4470;4890;5730;6150;6990;7830;
316;61832;77528;85376;101072;108920;124616;140312;
612;69870;98822;113298;142250;156726;185678;214630;
618;81133;124301;145885;189053;210637;253805;296973;
624;4367;13839;18575;28047;32783;40175;49647;
3416;0;0;0;0;0;0;0;
6412;5;5;5;5;5;5;5;
6418;200;200;200;200;200;200;200;
6424;340;340;340;340;340;340;340;

3;;;;;;;;
